,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,2cghx7KAEerkF-4Cn4D2vg,scenics-bar-n-kitchen-el-paso,Scenic's Bar N Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/_Gm7PdGFJm_sudYNQxJp6A/o.jpg,False,https://www.yelp.com/biz/scenics-bar-n-kitchen-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,42,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}]",4.5,"{'latitude': 31.79173592, 'longitude': -106.50746796}","['delivery', 'pickup']","{'address1': '4130 N Mesa St', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4130 N Mesa St', 'El Paso, TX 79902']}",+19153074630,(915) 307-4630,7578.3312443395625,
1,rCYAj0iLHEBRw_Nle5w2Yg,jaimes-hut-el-paso,Jaime's Hut,https://s3-media4.fl.yelpcdn.com/bphoto/y4z_wjkJiwXzfP3OTFXNTg/o.jpg,False,https://www.yelp.com/biz/jaimes-hut-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,18,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.7731185352103, 'longitude': -106.449433577582}",['delivery'],"{'address1': '3700 Alameda Ave', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79905', 'country': 'US', 'state': 'TX', 'display_address': ['3700 Alameda Ave', 'El Paso, TX 79905']}",+19153516162,(915) 351-6162,3074.827931907186,$
2,i0fjX_OCenBeu-YoUWPbAg,the-pig-pen-bbq-and-spirits-horizon-city,The Pig Pen BBQ & Spirits,https://s3-media4.fl.yelpcdn.com/bphoto/wigPAYiuD129vNHU-1IODw/o.jpg,False,https://www.yelp.com/biz/the-pig-pen-bbq-and-spirits-horizon-city?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,19,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 31.6820696, 'longitude': -106.1974737}","['delivery', 'pickup']","{'address1': '14010 Horizon Blvd', 'address2': 'Ste FG', 'address3': '', 'city': 'Horizon City', 'zip_code': '79928', 'country': 'US', 'state': 'TX', 'display_address': ['14010 Horizon Blvd', 'Ste FG', 'Horizon City, TX 79928']}",+19152598121,(915) 259-8121,25012.337110782457,
3,w5lIygsBX2GDNUAp6o90Ug,gasoline-rays-dive-bar-el-paso,Gasoline Ray's Dive Bar,https://s3-media1.fl.yelpcdn.com/bphoto/jH6ivfAjcqCezf9j5EmRHg/o.jpg,False,https://www.yelp.com/biz/gasoline-rays-dive-bar-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,41,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'divebars', 'title': 'Dive Bars'}]",4.0,"{'latitude': 31.839486, 'longitude': -106.578401}",['delivery'],"{'address1': '4907 Crossroads Dr', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79922', 'country': 'US', 'state': 'TX', 'display_address': ['4907 Crossroads Dr', 'El Paso, TX 79922']}",+19152620464,(915) 262-0464,15168.647465723996,$$
4,YrMWdU1obJ_m0rTT_fD-dg,the-dusty-tap-socorro,The Dusty Tap,https://s3-media2.fl.yelpcdn.com/bphoto/YXdoPkZ61NE2XSs5CTdlog/o.jpg,False,https://www.yelp.com/biz/the-dusty-tap-socorro?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,6,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 31.649331526554864, 'longitude': -106.30182339308016}",[],"{'address1': '10297 Socorro Rd', 'address2': '', 'address3': None, 'city': 'Socorro', 'zip_code': '79927', 'country': 'US', 'state': 'TX', 'display_address': ['10297 Socorro Rd', 'Socorro, TX 79927']}",+19157020024,(915) 702-0024,19936.3728017507,
5,UG-nrOxyZcPi5BfotyyVKw,papa-erics-burgers-el-paso-3,Papa Eric's Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/sF15vJ3KvN4MpFEgkpXDuA/o.jpg,False,https://www.yelp.com/biz/papa-erics-burgers-el-paso-3?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,40,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.0,"{'latitude': 31.770005822931, 'longitude': -106.348469629884}","['delivery', 'pickup']","{'address1': '2066 Wedgewood Dr', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['2066 Wedgewood Dr', 'El Paso, TX 79925']}",+19152590223,(915) 259-0223,7892.502060174409,$
6,GedsiJNMM3ItLM_Z2RYlAg,papa-erics-burgers-el-paso-4,Papa Eric's Burgers,https://s3-media1.fl.yelpcdn.com/bphoto/mvQjt6MTJklZAzn124Miow/o.jpg,False,https://www.yelp.com/biz/papa-erics-burgers-el-paso-4?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,70,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.7993583679199, 'longitude': -106.461624145508}","['delivery', 'pickup']","{'address1': '2519 N Piedras St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['2519 N Piedras St', 'El Paso, TX 79930']}",+19155657272,(915) 565-7272,3313.0355786370046,$
7,B6T2U4xLlWkJRZE8MPPt1w,burger-bros-el-paso,Burger Bros,https://s3-media2.fl.yelpcdn.com/bphoto/O8umNucrEonakz5uogX63Q/o.jpg,False,https://www.yelp.com/biz/burger-bros-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,38,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 31.766063, 'longitude': -106.36288}","['delivery', 'pickup']","{'address1': '9300 Acer Ave', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['9300 Acer Ave', 'El Paso, TX 79925']}",+19159969535,(915) 996-9535,6803.682290347024,
8,CJ_vGInempXhlwyYsSuldA,juarez-burger-juárez,Juarez Burger,https://s3-media3.fl.yelpcdn.com/bphoto/MEyvUOXJ3Jdd_Vgs7vp0cg/o.jpg,False,https://www.yelp.com/biz/juarez-burger-ju%C3%A1rez?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,1,"[{'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 31.7189420978249, 'longitude': -106.415118078314}",[],"{'address1': 'Blvd. Manuel Gomez Morin 7515', 'address2': '', 'address3': '', 'city': 'Juárez', 'zip_code': '', 'country': 'MX', 'state': 'CHH', 'display_address': ['Blvd. Manuel Gomez Morin 7515', 'Juárez, Chihuahua', 'Mexico']}",+526562510804,+52 656 251 0804,8357.986918471302,$$
9,YfH3Vj99-1uiRiOIB5aBSw,not-just-burgers-el-paso-2,Not Just Burgers,https://s3-media2.fl.yelpcdn.com/bphoto/nrOoCfQ4XRKPyAJIqy3h8A/o.jpg,False,https://www.yelp.com/biz/not-just-burgers-el-paso-2?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,30,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 31.803578, 'longitude': -106.284447}","['delivery', 'pickup']","{'address1': '11720 Montana Ave', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['11720 Montana Ave', 'El Paso, TX 79936']}",+19153134034,(915) 313-4034,13548.474679119043,
10,66xSEHCsGEy4N3nenaTwqw,triple-7-el-paso,Triple 7,https://s3-media3.fl.yelpcdn.com/bphoto/2LtDmjBLIiQMQwHptjL3qg/o.jpg,False,https://www.yelp.com/biz/triple-7-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 31.7486554883771, 'longitude': -106.282576678463}",[],"{'address1': '1661 N Zaragoza Rd', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['1661 N Zaragoza Rd', 'El Paso, TX 79936']}",,,14557.995086996167,
11,09bNDXGlP3n_zfqgeWtb8A,west-texas-chophouse-el-paso-5,West Texas Chophouse,https://s3-media1.fl.yelpcdn.com/bphoto/_UtFe2QsFIZY2EiAZZQj0g/o.jpg,False,https://www.yelp.com/biz/west-texas-chophouse-el-paso-5?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,668,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 31.7809409, 'longitude': -106.3926958}","['delivery', 'pickup']","{'address1': '1135 Airway Blvd', 'address2': 'Ste 7B', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['1135 Airway Blvd', 'Ste 7B', 'El Paso, TX 79925']}",+19157752467,(915) 775-2467,3552.1496000895204,$$
12,oXINw7sWReqPnJbjdqWb2g,sabertooth-food-el-paso,Sabertooth Food,https://s3-media4.fl.yelpcdn.com/bphoto/WZQe-Gyc0Ul3ewRW63mJuQ/o.jpg,False,https://www.yelp.com/biz/sabertooth-food-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,141,"[{'alias': 'newamerican', 'title': 'New American'}]",4.0,"{'latitude': 31.7883206383448, 'longitude': -106.506634447746}","['delivery', 'pickup']","{'address1': '4006 N Mesa St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4006 N Mesa St', 'El Paso, TX 79902']}",+19155338024,(915) 533-8024,7518.617893219805,$$
13,Qfz7iN503WycSZ6yTLmAdA,the-district-pub-and-kitchen-el-paso,The District Pub & Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/EDeFhhZNOWSMx7b9LReHEA/o.jpg,False,https://www.yelp.com/biz/the-district-pub-and-kitchen-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,48,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tradamerican', 'title': 'American'}]",4.0,"{'latitude': 31.7801113343415, 'longitude': -106.461823333336}",['delivery'],"{'address1': '601 N Piedras St', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79903', 'country': 'US', 'state': 'TX', 'display_address': ['601 N Piedras St', 'El Paso, TX 79903']}",+19155640707,(915) 564-0707,3580.921011866649,$$
14,0693IPLe34HLDdfAm7cSDw,border-burger-bar-el-paso,Border Burger Bar,https://s3-media4.fl.yelpcdn.com/bphoto/SoHOTlsVOZF4k--WJIKlIw/o.jpg,False,https://www.yelp.com/biz/border-burger-bar-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,149,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"{'latitude': 31.80629, 'longitude': -106.454392}",['pickup'],"{'address1': '3329 Fort Blvd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['3329 Fort Blvd', 'El Paso, TX 79930']}",+19155622867,(915) 562-2867,2934.1795916104843,$$
15,kvTS54xsq35zv9UJlf4hxg,five-guys-el-paso-5,Five Guys,https://s3-media2.fl.yelpcdn.com/bphoto/1ww9t3_RuHKn6S49JPlypA/o.jpg,False,https://www.yelp.com/biz/five-guys-el-paso-5?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,19,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",4.0,"{'latitude': 31.771984318316953, 'longitude': -106.37540449570083}",['delivery'],"{'address1': '8889 Gateway West Blvd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['8889 Gateway West Blvd', 'El Paso, TX 79925']}",+19153041639,(915) 304-1639,5452.793069405886,$
16,q_NegZJ2GBxNcvl2VOxjHw,undisputed-craft-house-el-paso,Undisputed Craft House,https://s3-media4.fl.yelpcdn.com/bphoto/NMNqa2FNhXLI4CA4LDvMkg/o.jpg,False,https://www.yelp.com/biz/undisputed-craft-house-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,64,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",4.0,"{'latitude': 31.76631, 'longitude': -106.28539}","['delivery', 'pickup']","{'address1': '1881 Saul Kleinfeld', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['1881 Saul Kleinfeld', 'El Paso, TX 79936']}",+19153000000,(915) 300-0000,13735.492248498387,
17,vTZCkmaw5COrawvtxDmouQ,frisco-burger-el-paso,Frisco Burger,https://s3-media2.fl.yelpcdn.com/bphoto/iyAGI-TojmHaTgtJDrqWrg/o.jpg,False,https://www.yelp.com/biz/frisco-burger-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,106,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American'}]",4.0,"{'latitude': 31.78573, 'longitude': -106.33556}",['delivery'],"{'address1': '3111 N Yarbrough Dr', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['3111 N Yarbrough Dr', 'El Paso, TX 79925']}",+19155916737,(915) 591-6737,8711.6263344107,$
18,bKrtFOzhGU1j5RuwxaEw_g,crave-kitchen-and-bar-el-paso-2,Crave Kitchen and Bar,https://s3-media2.fl.yelpcdn.com/bphoto/EN6PGGgySx8PD8t2_0yeOw/o.jpg,False,https://www.yelp.com/biz/crave-kitchen-and-bar-el-paso-2?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,769,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 31.777472, 'longitude': -106.5020731}",['delivery'],"{'address1': '300 Cincinnati Ave', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['300 Cincinnati Ave', 'El Paso, TX 79902']}",+19153513677,(915) 351-3677,7270.137490706656,$$
19,4Bb4heAnpco4Y10WyhkuJA,rockstar-burger-bar-el-paso,Rockstar Burger Bar,https://s3-media2.fl.yelpcdn.com/bphoto/OHJNw4U_yXHjILv4YDEPFg/o.jpg,False,https://www.yelp.com/biz/rockstar-burger-bar-el-paso?adjust_creative=jWE-QiYDJbkbortzHbizog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=jWE-QiYDJbkbortzHbizog,144,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",4.0,"{'latitude': 31.75979, 'longitude': -106.48694}",['delivery'],"{'address1': '217 N Stanton', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79901', 'country': 'US', 'state': 'TX', 'display_address': ['217 N Stanton', 'El Paso, TX 79901']}",+19158814475,(915) 881-4475,6764.434317949856,$$
